Longitude,Latitude,Pixel,Scan
162.884247,21.546214,1900,200
162.863839,21.5469708,2000,200
162.843429,21.5477252,2100,200
162.82302,21.548477,2200,200
162.802609,21.5492264,2300,200
162.782198,21.5499733,2400,200
162.761787,21.5507177,2500,200
162.741374,21.5514596,2600,200
162.72096,21.5521991,2700,200
162.700545,21.5529361,2800,200
162.680129,21.5536706,2900,200
162.659711,21.5544027,3000,200
162.639292,21.5551323,3100,200
162.618872,21.5558594,3200,200
162.598449,21.5565841,3300,200
162.578025,21.5573064,3400,200
162.557599,21.5580262,3500,200
162.537172,21.5587435,3600,200
162.516742,21.5594584,3700,200
162.496309,21.5601709,3800,200
162.475875,21.560881,3900,200
162.455643,21.5615815,3999,200
163.271277,21.5152117,0,300
163.250859,21.5160168,100,300
163.230443,21.5168194,200,300
163.210028,21.5176194,300,300
163.189614,21.5184169,400,300
163.169202,21.5192118,500,300
163.14879,21.5200042,600,300
163.12838,21.520794,700,300
163.10797,21.5215812,800,300
163.087562,21.522366,900,300
163.067154,21.5231482,1000,300
163.046747,21.5239278,1100,300
163.02634,21.524705,1200,300
163.005934,21.5254796,1300,300
162.985528,21.5262517,1400,300
162.965122,21.5270213,1500,300
162.944716,21.5277884,1600,300
162.92431,21.5285529,1700,300
162.903904,21.529315,1800,300
162.883498,21.5300746,1900,300
162.863092,21.5308317,2000,300
162.842685,21.5315862,2100,300
162.822278,21.5323383,2200,300
162.80187,21.533088,2300,300
162.781461,21.5338351,2400,300
162.761051,21.5345798,2500,300
162.740641,21.5353219,2600,300
162.720229,21.5360617,2700,300
162.699817,21.5367989,2800,300
162.679403,21.5375337,2900,300
162.658988,21.538266,3000,300
162.638571,21.5389959,3100,300
162.618153,21.5397233,3200,300
162.597733,21.5404483,3300,300
162.577311,21.5411708,3400,300
162.556887,21.5418909,3500,300
162.536462,21.5426085,3600,300
162.516034,21.5433237,3700,300
162.495605,21.5440365,3800,300
162.475172,21.5447468,3900,300
162.454942,21.5454476,3999,300
163.270421,21.4989378,0,400
163.250005,21.4997424,100,400
163.229591,21.5005445,200,400
163.209178,21.5013441,300,400
163.188767,21.5021411,400,400
163.168357,21.5029355,500,400
163.147948,21.5037274,600,400
163.12754,21.5045167,700,400
163.107133,21.5053035,800,400
163.086727,21.5060877,900,400
163.066321,21.5068695,1000,400
163.045916,21.5076487,1100,400
163.025512,21.5084253,1200,400
163.005108,21.5091995,1300,400
162.984704,21.5099711,1400,400
162.9643,21.5107402,1500,400
162.943897,21.5115069,1600,400
162.923493,21.512271,1700,400
162.90309,21.5130326,1800,400
162.882686,21.5137917,1900,400
162.862282,21.5145483,2000,400
162.841877,21.5153025,2100,400
162.821472,21.5160541,2200,400
162.801067,21.5168033,2300,400
162.78066,21.51755,2400,400
162.760253,21.5182942,2500,400
162.739845,21.5190359,2600,400
162.719436,21.5197752,2700,400
162.699025,21.520512,2800,400
162.678614,21.5212464,2900,400
162.658201,21.5219783,3000,400
162.637786,21.5227077,3100,400
162.61737,21.5234347,3200,400
162.596952,21.5241592,3300,400
162.576533,21.5248813,3400,400
162.556112,21.525601,3500,400
162.535688,21.5263182,3600,400
162.515263,21.527033,3700,400
162.494836,21.5277453,3800,400
162.474406,21.5284552,3900,400
162.454178,21.5291556,3999,400
163.2696,21.4827399,0,500
163.249187,21.4835444,100,500
163.228775,21.4843463,200,500
163.208364,21.4851456,300,500
163.187955,21.4859424,400,500
163.167548,21.4867367,500,500
163.147141,21.4875284,600,500
163.126735,21.4883175,700,500
163.10633,21.4891041,800,500
163.085926,21.4898882,900,500
163.065523,21.4906698,1000,500
163.045121,21.4914488,1100,500
163.024718,21.4922253,1200,500
163.004317,21.4929993,1300,500
162.983915,21.4937707,1400,500
162.963514,21.4945397,1500,500
162.943113,21.4953061,1600,500
162.922712,21.4960701,1700,500
162.90231,21.4968316,1800,500
162.881909,21.4975905,1900,500
162.861507,21.498347,2000,500
162.841105,21.499101,2100,500
